article_id,source_id,source_item_key,source_entry_id,case_ids,title,canonical_url,language,published_date,content_type,discovery_status,selection_status,rights_review_id,rights_status,capture_status,boundary_status,pipeline_status,current_stage,last_run_id,machine_review_status,human_review_status,assigned_to,last_checked_at,notes
SRC0024-ART000237,SRC0024,卷下:諸聖同歸類:往生無數,ENT000245,,往生無數,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:往生無數:e234971404a9,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000238,SRC0024,卷下:諸聖同歸類:面見彌陀,ENT000246,,面見彌陀,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:面見彌陀:062f0a378e8f,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000239,SRC0024,卷下:諸聖同歸類:十願求生,ENT000247,,十願求生,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:十願求生:cbb99d21735a,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000240,SRC0024,卷下:諸聖同歸類:偈論淨土,ENT000248,,偈論淨土,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:偈論淨土:c5fbd8ec217f,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000241,SRC0024,卷下:諸聖同歸類:請佛形儀,ENT000249,,請佛形儀,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:請佛形儀:8669a0af83df,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000242,SRC0024,卷下:諸聖同歸類:造論起信,ENT000250,,造論起信,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:造論起信:179d264d2ecb,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000243,SRC0024,卷下:諸聖同歸類:龍樹記生,ENT000251,,龍樹記生,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:龍樹記生:50fa1baeedfd,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000244,SRC0024,卷下:諸聖同歸類:集善往生,ENT000252,,集善往生,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:集善往生:b64ca4879011,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000245,SRC0024,卷下:諸聖同歸類:得忍往生,ENT000253,,得忍往生,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:得忍往生:23f340bc2ee4,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000246,SRC0024,卷下:諸聖同歸類:第二大願,ENT000254,,第二大願,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:第二大願:e6cd7064442c,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000247,SRC0024,卷下:諸聖同歸類:念佛滅罪,ENT000255,,念佛滅罪,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:念佛滅罪:612aa9fcacf1,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000248,SRC0024,卷下:諸聖同歸類:勝會書名,ENT000256,,勝會書名,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:勝會書名:87af073a4020,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000249,SRC0024,卷下:諸聖同歸類:略舉尊宿,ENT000257,,略舉尊宿,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:略舉尊宿:c2941713d6a7,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000250,SRC0024,卷下:諸聖同歸類:總論,ENT000258,,總論,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:諸聖同歸類:總論:dc46851910b5,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000251,SRC0024,卷下:生存感應類:鬼不敢噉,ENT000259,,鬼不敢噉,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:生存感應類:鬼不敢噉:012ebd3e0dd9,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
